id,coffee_id,roast_date,open_date,empty_date,weight_g,price_ct
1,1,2025-10-30,2025-10-30,,283,$18.00
2,2,2025-10-30,2025-10-30,,283,$15.00
3,3,2025-10-30,2025-10-30,,283,$13.00
4,4,2025-10-30,2025-10-30,,283,$13.00
5,5,2025-09-04,2025-09-04,,283,$16.67
6,6,2025-06-16,2025-06-16,,283,$16.67
7,7,2025-03-21,2025-03-21,,907.185,$25.00
8,1,2025-12-13,2025-12-13,,771.7,$50.00
9,8,2025-12-13,2025-12-13,,300,$14.25
10,9,2025-12-13,2025-12-13,,300,$14.35
11,10,2025-12-13,2025-12-13,,300,$14.50
12,11,2025-12-04,2025-12-04,,300,$14.65
13,12,2025-09-18,2025-09-18,,283,$16.67
14,13,2026-02-09,2026-02-25,,300,$16.50
15,14,2025-12-27,,,100,$18.52
16,15,2026-02-09,,,300,$15.80
17,16,2026-02-09,,,300,$14.80
18,17,2026-02-14,2026-02-14,,771.7,$45.00
