ID,Roaster,Coffee Name,Type,Country,Region,Farm,Producer,Varietals,Altitude (MASL),Process,Roast Level,Tasting Notes,Decaf
1,Pachamama Coffee,Ethiopia Yirgacheffe,Single Origin,Ethiopia,Yirgacheffe,Oromia Coffee Farmers Cooperative Union ,,,2100,washed,light,"Lemon,Jasmine,Honey",0
2,Pachamama Coffee,Guatemala,Single Origin,Guatemala,"Santa Clara, Solola",Manos Campesinas,,,2114,,medium,"Pear,Caramel,Cacao Nib",0
3,Pachamama Coffee,Perú,Single Origin,Perú,Santa Teresa,Cocla,,,1550,,medium,"Cherry,Cream,Chocolate",0
4,Pachamama Coffee,Nicaragua,Single Origin,Nicaragua,Rio Coco,Prodecoop,,,,,medium,"Floral,Citrus,Chocolate",0
5,Pachamama Coffee,Farmer’s,Blend,Americas,,,,,,,dark,"Rich,Butterscotch,Walnut",0
6,Pachamama Coffee,Machu Picchu,Single Origin,Perú,Santa Teresa,Cocla,,,,,dark,"Rich,Caramel,Chocolate",0
7,Happy Mug,Animated Espresso,Blend,,,,,,,,dark,"Caramel,Complex,Potent",0
8,S&W Craft Roasting,DR Congo Kivu Hutwe Honey,Single Origin,Democratic Republic of the Congo,Kivu,South Kivu Farmers,Hutwe,bourbon,1750-2000,honey,light,"raisin,peach,figs,spice bread",0
9,S&W Craft Roasting,Burundi Kayanza Ninga Bumba Anaerobic Honey,Single Origin,Burundi,"Bumba,Kayanza",Bumba Farmers,Ninga Coffee Washing Station,bourbon,2200,anaerobic honey,,"kumquat,lemon,lime",0
10,S&W Craft Roasting,Rwanda Dukorere Kawa Bukure Natural ,Single Origin,Rwanda,Bukure,Bukure Farmers,Nova Coffee,bourbon,1800-2200,natural,light,"stonefruit,blueberries,blackberry jam",0
11,S&W Craft Roasting,Sumatra Bener Meriah CSC Abyssinia and Typica,Single Origin,Indonesia,"Bener Meriah,Aceh",Central Sumatera Coffee,Central Sumatera Coffee,"Abyssinia,Typica",1300-1400,wet-hulled,light,"Blood orange,five-spice,Lavendar",0
12,Pachamama Coffee,Espresso Blend,Blend,Americas,,,,,,,dark,"Complex,Plug,Chocolate",0
13,S&W Craft Roasting,Ethiopia Mullugeta Muntasha Sidama Arbegona Natural,Single Origin,Ethiopia,Sidama,Dawencho,Mullugeta Muntasha ,JARC 74158,2150,natural,light,"Red Clover, Wildflowers, Red and Blue Fruits",0
14,S&W Craft Roasting,Ecuador Pichincha Galo Morales Natural Gesha,Single Origin,Ecuador,Pichincha,Finca Cruz Loma,Galo Fernando Morales Flores,Gesha,1450,natural,light,"Red Fruits,Florals,Melon,Spice",0
15,S&W Craft Roasting,Papua New Guinea Jiwaka Arufa Natural,Single Origin,Papua New Guinea,"Jiwaka,Western Highlands",Kagamuga Dry Mill ,Monpi Coffee,"Blue Mountain,Arusha,Mundo Novo,Bourbon",1520-1770,natural,light,"graham,caramel,mixed berries ",0
16,S&W Craft Roasting,Sumatra Bener Meriah CSC Abyssinia and Typica – MEDIUM roast,Single Origin,Indonesia,"Bener Meriah,Aceh",Central Sumatera Coffee,Central Sumatera Coffee,"Abyssinia,Typica",1300-1400,wet-hulled,medium,"blood orange,rose,spice",0
17,Pachamama Coffee,Ethiopia Sidama,Single Origin,Ethiopia,Sidama,Oromia Coffee Farmers Cooperative Union ,,,,natural,light,"blackberry,honey,cacao",0
